ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
LCID,"Lucid Group, Inc.",US,7.360000133514404,13.93,32.61,2.37,62533580,26418840,0.0,出来高急増 x2.4 / 5日急騰 +32.6% / 単日急騰 +13.9% / 新高値圏,4,2026-07-18 22:45,True
PYPL,"PayPal Holdings, Inc.",US,56.560001373291016,-0.3,22.11,1.71,34870080,20375175,-0.3,5日急騰 +22.1% / 新高値圏,2,2026-07-18 22:45,True
4911.T,SHISEIDO COMPANY LIMITED,JP,3060.0,1.19,11.07,1.18,3664580,3106760,-8.59,5日急騰 +11.1%,1,2026-07-18 22:46,False
4443.T,SANSAN INC,JP,1827.0,-0.54,6.04,1.66,2895280,1748340,-1.24,新高値圏,1,2026-07-18 22:45,True
AAPL,Apple Inc.,US,333.739990234375,0.14,5.84,0.79,53377620,67415835,0.0,新高値圏,1,2026-07-18 22:45,True
BMY,Bristol-Myers Squibb Company,US,60.7400016784668,0.38,5.49,0.9,12211520,13568485,0.0,新高値圏,1,2026-07-18 22:45,False
6098.T,RECRUIT HOLDINGS CO LTD,JP,12820.0,1.63,4.74,0.84,3290040,3903085,0.0,新高値圏,1,2026-07-18 22:45,True
4661.T,ORIENTAL LAND CO,JP,2729.5,1.28,4.38,1.29,7424040,5761630,-0.56,新高値圏,1,2026-07-18 22:46,True
2914.T,JAPAN TOBACCO INC,JP,6347.0,2.45,3.76,0.88,4342280,4938590,0.0,新高値圏,1,2026-07-18 22:46,True
NET,"Cloudflare, Inc.",US,277.6600036621094,1.91,3.45,0.9,2943380,3285305,-1.45,新高値圏,1,2026-07-18 22:45,True
GILD,"Gilead Sciences, Inc.",US,134.27999877929688,-1.48,3.43,0.72,5936660,8218710,-1.53,新高値圏,1,2026-07-18 22:45,False
ABBV,AbbVie Inc.,US,254.49000549316406,0.04,3.31,0.61,5844020,9646715,-1.83,新高値圏,1,2026-07-18 22:45,True
MA,MA,US,543.5999755859375,-1.44,3.2,0.79,3094160,3933520,-1.44,新高値圏,1,2026-07-18 22:45,True
2801.T,KIKKOMAN CORP,JP,1667.0,2.14,2.96,0.86,3089240,3596250,-0.95,新高値圏,1,2026-07-18 22:46,True
7751.T,CANON INC,JP,4466.0,1.57,2.9,1.01,3877460,3829960,0.0,新高値圏,1,2026-07-18 22:46,False
3382.T,SEVEN & I HOLDINGS CO LTD,JP,2080.0,3.64,2.89,1.28,10273060,8039695,-0.14,新高値圏,1,2026-07-18 22:46,False
9433.T,KDDI CORPORATION,JP,2868.0,0.84,2.78,0.84,7341440,8704240,0.0,新高値圏,1,2026-07-18 22:46,True
V,V,US,358.55999755859375,-1.8,2.75,0.85,8383820,9891825,-1.8,新高値圏,1,2026-07-18 22:45,True
2413.T,M3 INC,JP,1919.0,-0.39,2.62,1.0,3673760,3664695,-1.34,新高値圏,1,2026-07-18 22:46,True
DXCM,"DexCom, Inc.",US,76.6500015258789,-1.71,2.25,0.95,4682340,4931975,-1.97,新高値圏,1,2026-07-18 22:45,True
6902.T,DENSO CORP,JP,1964.0,-0.58,1.58,0.86,6236460,7265680,-1.41,新高値圏,1,2026-07-18 22:46,False
EA,EA,US,208.89999389648438,0.51,1.21,1.19,2808940,2359160,0.0,新高値圏,1,2026-07-18 22:45,True
TMO,TMO,US,532.47998046875,-1.97,1.03,0.83,1754160,2102680,-1.97,新高値圏,1,2026-07-18 22:45,True
UNH,UnitedHealth Group Incorporated,US,426.0899963378906,0.64,0.35,1.2,7951540,6643785,-1.29,新高値圏,1,2026-07-18 22:45,False
ABNB,"Airbnb, Inc.",US,145.97999572753906,-1.23,-1.78,1.03,3961360,3855395,-1.98,新高値圏,1,2026-07-18 22:45,True
IBM,International Business Machines,US,212.6699981689453,-2.91,-26.04,2.04,27544740,13525340,-35.4,出来高急増 x2.0,1,2026-07-18 22:45,True
