ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
MRNA,"Moderna, Inc.",US,79.76000213623047,10.01,33.49,1.25,11545460,9234400,0.0,5日急騰 +33.5% / 単日急騰 +10.0% / 新高値圏,3,2026-07-03 23:00,True
RIVN,"Rivian Automotive, Inc.",US,18.6299991607666,8.44,25.37,1.34,43599040,32523310,0.0,5日急騰 +25.4% / 単日急騰 +8.4% / 新高値圏,3,2026-07-03 23:00,True
6963.T,ROHM CO LTD,JP,5950.0,14.18,11.38,0.93,5330500,5706630,0.0,5日急騰 +11.4% / 単日急騰 +14.2% / 新高値圏,3,2026-07-03 23:00,True
4385.T,MERCARI INC,JP,4392.0,4.85,16.72,1.07,1990920,1863230,0.0,5日急騰 +16.7% / 新高値圏,2,2026-07-03 23:00,True
6971.T,KYOCERA CORP,JP,3916.0,0.75,14.81,1.05,8351840,7970090,0.0,5日急騰 +14.8% / 新高値圏,2,2026-07-03 23:00,False
MA,Mastercard Incorporated,US,539.3900146484375,3.24,10.32,1.27,5404540,4271030,0.0,5日急騰 +10.3% / 新高値圏,2,2026-07-03 23:00,True
AFRM,"Affirm Holdings, Inc.",US,84.58000183105469,0.87,10.06,1.07,4826920,4527145,0.0,5日急騰 +10.1% / 新高値圏,2,2026-07-03 23:00,True
RKLB,Rocket Lab Corporation,US,100.45999908447266,0.39,24.5,1.03,30801540,29960370,-33.13,5日急騰 +24.5%,1,2026-07-03 23:00,True
4443.T,SANSAN INC,JP,1716.0,2.39,24.08,1.29,1906720,1481330,-2.78,5日急騰 +24.1%,1,2026-07-03 23:00,True
MDB,"MongoDB, Inc.",US,354.8800048828125,-1.25,20.67,1.23,2069040,1685555,-12.13,5日急騰 +20.7%,1,2026-07-03 23:00,True
PLTR,Palantir Technologies Inc.,US,129.3000030517578,2.84,20.54,1.21,52759660,43592695,-19.51,5日急騰 +20.5%,1,2026-07-03 23:00,True
RBLX,Roblox Corporation,US,55.40999984741211,-4.38,19.44,0.98,11932640,12170980,-10.38,5日急騰 +19.4%,1,2026-07-03 23:00,True
NOW,"ServiceNow, Inc.",US,106.31999969482422,0.49,18.77,0.92,23701300,25764520,-21.74,5日急騰 +18.8%,1,2026-07-03 23:00,True
LCID,"Lucid Group, Inc.",US,6.079999923706055,-8.3,18.75,1.35,21446760,15833335,-34.83,5日急騰 +18.8%,1,2026-07-03 23:00,True
PATH,"UiPath, Inc.",US,11.710000038146973,1.39,17.93,1.19,61215320,51530960,-10.61,5日急騰 +17.9%,1,2026-07-03 23:00,True
DDOG,"Datadog, Inc.",US,260.3599853515625,-1.56,17.84,1.08,5415340,4997895,-6.17,5日急騰 +17.8%,1,2026-07-03 23:00,True
COIN,"Coinbase Global, Inc.",US,165.47999572753906,3.92,16.11,1.08,9615280,8908030,-23.6,5日急騰 +16.1%,1,2026-07-03 23:00,True
SNOW,Snowflake Inc.,US,260.1499938964844,-0.4,14.57,1.41,10374540,7332245,-7.14,5日急騰 +14.6%,1,2026-07-03 23:00,True
7735.T,SCREEN HOLDINGS CO LTD,JP,18940.0,4.9,14.54,1.22,4197660,3443095,-2.82,5日急騰 +14.5%,1,2026-07-03 23:00,False
6526.T,SOCIONEXT INC,JP,2874.0,3.85,14.07,1.08,11262660,10468825,-4.83,5日急騰 +14.1%,1,2026-07-03 23:00,True
ADBE,Adobe Inc.,US,219.72000122070312,4.14,13.6,0.82,7348040,8942735,-19.82,5日急騰 +13.6%,1,2026-07-03 23:00,True
4478.T,FREEE K K,JP,2124.0,0.38,13.22,1.43,641780,448070,-21.62,5日急騰 +13.2%,1,2026-07-03 23:00,True
AAPL,Apple Inc.,US,308.6300048828125,4.84,12.17,1.5,103773500,69125680,-2.08,5日急騰 +12.2%,1,2026-07-03 23:00,True
